no,municipio,departamento,zona_sismo,zona_viento,notas
1,Acatenango,Chimaltenango,4,B,
2,Agua Blanca,Jutiapa,3,B,
3,Aguacatán,Huehuetenango,4,B,
4,Almolonga,Quetzaltenango,4,B,
5,Alotenango,Sacatepéquez,4,B,
6,Amatitlán,Guatemala,4,B,
7,Antigua Guatemala,Sacatepéquez,4,B,
8,Asunción Mita,Jutiapa,4,B,
9,Atescatempa,Jutiapa,4,B,
10,Ayutla,San Marcos,4,B,
11,Barberena,Santa Rosa,4,B,
12,Cabañas,Zacapa,4,B,
13,Cabricán,Quetzaltenango,4,B,
14,Cajola,Quetzaltenango,4,B,
15,Camotán,Chiquimula,3,B,
16,Canillá,Quiché,4,B,
17,Cantel,Quetzaltenango,4,B,
18,Casillas,Santa Rosa,4,B,
19,Catarina,San Marcos,4,B,
20,Chahal,Alta Verapaz,3,B,
21,Chajul,Quiché,3,B,
22,Champerico,Retalhuleu,4,A,
23,Chiantla,Huehuetenango,4,B,
24,Chicacao,Suchitepéquez,4,B,
25,Chicamán,Quiché,3,B,
26,Chiché,Quiché,4,B,
27,Chichicastenango,Quiché,4,B,
28,Chimaltenango,Chimaltenango,4,B,
29,Chinautla,Guatemala,4,B,
30,Chinique,Quiché,4,B,
31,Chiquimula,Chiquimula,3,B,
32,Chiquimulilla,Santa Rosa,4,A,
33,Chisec,Alta Verapaz,3,B,
34,Chuarrancho,Guatemala,4,B,
35,Ciudad Vieja,Sacatepéquez,4,B,
36,Coatepeque,Quetzaltenango,4,A,
37,Cobán (Norte),Alta Verapaz,3,B,
38,Colomba,Quetzaltenango,4,B,
39,Colotenango,Huehuetenango,4,B,
40,Comapa,Jutiapa,4,A,
41,Comitancillo,San Marcos,4,B,
42,Concepción,Sololá,4,B,
43,Concepción Chiquirichapa,Quetzaltenango,4,B,
44,Concepción Huista,Huehuetenango,3,B,
45,Concepción Las Minas,Chiquimula,3,B,
46,Concepción Tutuapa,San Marcos,4,B,
47,Conguaco,Jutiapa,4,A,
48,Cubulco,Baja Verapaz,4,B,
49,Cuilapa,Santa Rosa,4,B,
